theta_deg,AF_linear,AF_dB
136.750,0.015238,-36.3412
137.000,0.013156,-37.6178
137.250,0.011065,-39.1210
137.500,0.008970,-40.9444
137.750,0.006873,-43.2567
138.000,0.004779,-46.4138
138.250,0.002689,-51.4082
138.500,0.000607,-64.3336
138.750,0.001464,-56.6901
139.000,0.003521,-49.0659
139.250,0.005562,-45.0946
139.500,0.007585,-42.4011
139.750,0.009586,-40.3675
140.000,0.011563,-38.7387
140.250,0.013514,-37.3843
140.500,0.015437,-36.2289
140.750,0.017329,-35.2244
141.000,0.019189,-34.3388
141.250,0.021015,-33.5493
141.500,0.022805,-32.8394
141.750,0.024557,-32.1964
142.000,0.026270,-31.6107
142.250,0.027943,-31.0747
142.500,0.029573,-30.5822
142.750,0.031160,-30.1282
143.000,0.032702,-29.7085
143.250,0.034199,-29.3198
143.500,0.035649,-28.9591
143.750,0.037052,-28.6238
144.000,0.038407,-28.3118
144.250,0.039713,-28.0214
144.500,0.040969,-27.7508
144.750,0.042176,-27.4987
145.000,0.043332,-27.2637
145.250,0.044438,-27.0449
145.500,0.045493,-26.8411
145.750,0.046497,-26.6515
146.000,0.047450,-26.4753
146.250,0.048352,-26.3117
146.500,0.049203,-26.1602
146.750,0.050002,-26.0202
147.000,0.050752,-25.8910
147.250,0.051450,-25.7722
147.500,0.052099,-25.6634
147.750,0.052698,-25.5641
148.000,0.053248,-25.4740
148.250,0.053749,-25.3927
148.500,0.054201,-25.3198
148.750,0.054607,-25.2551
149.000,0.054965,-25.1983
149.250,0.055277,-25.1491
149.500,0.055544,-25.1073
149.750,0.055765,-25.0727
150.000,0.055943,-25.0450
150.250,0.056078,-25.0241
150.500,0.056171,-25.0098
150.750,0.056222,-25.0018
151.000,0.056233,-25.0002
151.250,0.056205,-25.0046
151.500,0.056138,-25.0149
151.750,0.056033,-25.0311
152.000,0.055893,-25.0529
152.250,0.055716,-25.0803
152.500,0.055506,-25.1132
152.750,0.055262,-25.1515
153.000,0.054986,-25.1950
153.250,0.054678,-25.2437
153.500,0.054340,-25.2975
153.750,0.053974,-25.3563
154.000,0.053579,-25.4201
154.250,0.053157,-25.4887
154.500,0.052710,-25.5622
154.750,0.052238,-25.6403
155.000,0.051742,-25.7232
155.250,0.051223,-25.8107
155.500,0.050683,-25.9028
155.750,0.050122,-25.9995
156.000,0.049541,-26.1006
156.250,0.048943,-26.2063
156.500,0.048326,-26.3164
156.750,0.047693,-26.4309
157.000,0.047045,-26.5497
157.250,0.046382,-26.6730
157.500,0.045706,-26.8006
157.750,0.045017,-26.9325
158.000,0.044316,-27.0688
158.250,0.043605,-27.2093
158.500,0.042883,-27.3542
158.750,0.042153,-27.5034
159.000,0.041415,-27.6569
159.250,0.040669,-27.8147
159.500,0.039917,-27.9768
159.750,0.039159,-28.1433
160.000,0.038397,-28.3141
160.250,0.037630,-28.4893
160.500,0.036860,-28.6689
160.750,0.036087,-28.8529
161.000,0.035313,-29.0414
161.250,0.034537,-29.2343
161.500,0.033761,-29.4318
161.750,0.032984,-29.6338
162.000,0.032209,-29.8405
162.250,0.031435,-30.0518
162.500,0.030663,-30.2678
162.750,0.029893,-30.4887
163.000,0.029126,-30.7143
163.250,0.028363,-30.9449
163.500,0.027604,-31.1805
163.750,0.026850,-31.4212
164.000,0.026100,-31.6671
164.250,0.025356,-31.9182
164.500,0.024619,-32.1747
164.750,0.023887,-32.4367
165.000,0.023162,-32.7043
165.250,0.022445,-32.9777
165.500,0.021735,-33.2568
165.750,0.021033,-33.5421
166.000,0.020339,-33.8334
166.250,0.019654,-34.1311
166.500,0.018977,-34.4353
166.750,0.018310,-34.7462
167.000,0.017652,-35.0640
167.250,0.017004,-35.3889
167.500,0.016366,-35.7211
167.750,0.015738,-36.0609
168.000,0.015121,-36.4086
168.250,0.014514,-36.7644
168.500,0.013918,-37.1286
168.750,0.013333,-37.5016
169.000,0.012759,-37.8836
169.250,0.012197,-38.2752
169.500,0.011646,-38.6766
169.750,0.011107,-39.0883
170.000,0.010579,-39.5108
170.250,0.010064,-39.9445
170.500,0.009561,-40.3901
170.750,0.009070,-40.8481
171.000,0.008591,-41.3191
171.250,0.008125,-41.8039
171.500,0.007671,-42.3032
171.750,0.007229,-42.8178
172.000,0.006801,-43.3487
172.250,0.006385,-43.8969
172.500,0.005982,-44.4634
172.750,0.005592,-45.0494
173.000,0.005214,-45.6563
173.250,0.004850,-46.2857
173.500,0.004498,-46.9390
173.750,0.004160,-47.6183
174.000,0.003835,-48.3256
174.250,0.003522,-49.0633
174.500,0.003223,-49.8339
174.750,0.002937,-50.6407
175.000,0.002665,-51.4870
175.250,0.002405,-52.3769
175.500,0.002159,-53.3151
175.750,0.001926,-54.3071
176.000,0.001706,-55.3595
176.250,0.001500,-56.4799
176.500,0.001307,-57.6778
176.750,0.001127,-58.9646
177.000,0.000960,-60.3546
177.250,0.000807,-61.8657
177.500,0.000667,-63.5210
177.750,0.000540,-65.3510
178.000,0.000427,-67.3968
178.250,0.000327,-69.7162
178.500,0.000240,-72.3939
178.750,0.000167,-75.5610
179.000,0.000107,-79.4372
179.250,0.000060,-84.4347
179.500,0.000027,-91.4783
179.750,0.000007,-103.5194
180.000,0.000000,-240.0000
